id,start_date,end_date,term_name,semester_year,school_year_name
27,"Monday, June 22, 2009","Friday, August 14, 2009",Summer,2009,2008-2009
28,"Monday, August 17, 2009","Friday, December 4, 2009",Fall,2009,2009-2010
29,"Monday, January 18, 2010","Friday, May 7, 2010",Spring,2010,2009-2010
30,"Monday, June 21, 2010","Friday, August 13, 2010",Summer,2010,2009-2010
31,"Monday, August 16, 2010","Friday, December 3, 2010",Fall,2010,2010-2011
32,"Monday, January 17, 2011","Friday, May 6, 2011",Spring,2011,2010-2011
33,"Monday, June 20, 2011","Friday, August 12, 2011",Summer,2011,2010-2011
34,"Monday, August 22, 2011","Friday, December 9, 2011",Fall,2011,2011-2012
35,"Monday, January 23, 2012","Friday, May 11, 2012",Spring,2012,2011-2012
36,"Monday, June 25, 2012","Friday, August 17, 2012",Summer,2012,2011-2012
37,"Monday, August 20, 2012","Friday, December 7, 2012",Fall,2012,2012-2013
38,"Monday, January 21, 2013","Friday, May 10, 2013",Spring,2013,2012-2013
39,"Monday, June 24, 2013","Friday, August 16, 2013",Summer,2013,2012-2013
40,"Monday, August 19, 2013","Friday, December 6, 2013",Fall,2013,2013-2014
41,"Monday, January 20, 2014","Friday, May 9, 2014",Spring,2014,2013-2014
42,"Monday, June 23, 2014","Friday, August 15, 2014",Summer,2014,2013-2014
43,"Monday, August 18, 2014","Friday, December 5, 2014",Fall,2014,2014-2015
44,"Monday, January 19, 2015","Friday, May 8, 2015",Spring,2015,2014-2015
45,"Monday, June 22, 2015","Friday, August 14, 2015",Summer,2015,2014-2015
46,"Monday, August 17, 2015","Friday, December 4, 2015",Fall,2015,2015-2016
47,"Monday, January 18, 2016","Friday, May 6, 2016",Spring,2016,2015-2016
48,"Monday, June 20, 2016","Friday, August 12, 2016",Summer,2016,2015-2016
49,"Monday, August 22, 2016","Friday, December 9, 2016",Fall,2016,2016-2017
50,"Monday, January 23, 2017","Friday, May 12, 2017",Spring,2017,2016-2017
51,"Monday, June 26, 2017","Friday, August 18, 2017",Summer,2017,2016-2017
52,"Monday, August 21, 2017","Friday, December 8, 2017",Fall,2017,2017-2018
53,"Monday, January 22, 2018","Friday, May 11, 2018",Spring,2018,2017-2018
54,"Monday, June 25, 2018","Friday, August 17, 2018",Summer,2018,2017-2018
55,"Monday, August 20, 2018","Friday, December 7, 2018",Fall,2018,2018-2019
56,"Monday, January 21, 2019","Friday, May 10, 2019",Spring,2019,2018-2019
57,"Monday, June 24, 2019","Friday, August 16, 2019",Summer,2019,2018-2019
58,"Monday, August 19, 2019","Friday, December 6, 2019",Fall,2019,2019-2020
59,"Monday, January 20, 2020","Friday, May 8, 2020",Spring,2020,2019-2020
60,"Monday, June 22, 2020","Friday, August 14, 2020",Summer,2020,2019-2020
61,"Monday, August 17, 2020","Friday, December 4, 2020",Fall,2020,2020-2021
62,"Monday, January 18, 2021","Friday, May 7, 2021",Spring,2021,2020-2021
63,"Monday, June 21, 2021","Friday, August 13, 2021",Summer,2021,2020-2021
64,"Monday, August 23, 2021","Friday, December 10, 2021",Fall,2021,2021-2022
65,"Monday, January 24, 2022","Friday, May 13, 2022",Spring,2022,2021-2022
66,"Monday, June 27, 2022","Friday, August 19, 2022",Summer,2022,2021-2022
67,"Monday, August 22, 2022","Friday, December 9, 2022",Fall,2022,2022-2023
68,"Monday, January 23, 2023","Friday, May 12, 2023",Spring,2023,2022-2023
69,"Monday, June 26, 2023","Friday, August 18, 2023",Summer,2023,2022-2023
70,"Monday, August 21, 2023","Friday, December 8, 2023",Fall,2023,2023-2024
71,"Monday, January 22, 2024","Friday, May 10, 2024",Spring,2024,2023-2024
72,"Monday, June 24, 2024","Friday, August 16, 2024",Summer,2024,2023-2024
73,"Monday, August 19, 2024","Friday, December 6, 2024",Fall,2024,2024-2025
74,"Monday, January 20, 2025","Friday, May 9, 2025",Spring,2025,2024-2025
75,"Monday, June 23, 2025","Friday, August 15, 2025",Summer,2025,2024-2025
76,"Monday, August 18, 2025","Friday, December 5, 2025",Fall,2025,2025-2026
77,"Monday, January 19, 2026","Friday, May 8, 2026",Spring,2026,2025-2026
78,"Monday, June 22, 2026","Friday, August 14, 2026",Summer,2026,2025-2026
79,"Monday, August 24, 2026","Friday, December 11, 2026",Fall,2026,2026-2027
80,"Monday, January 25, 2027","Friday, May 14, 2027",Spring,2027,2026-2027
81,"Monday, June 28, 2027","Friday, August 20, 2027",Summer,2027,2026-2027
